id,name,price,type
1,item1,1000,1
2,item2,2000,1
3,item3,3000,1
4,item4,4000,1
5,item5,5000,1
6,item6,6000,1
7,item7,7000,1
8,item8,8000,1
9,item9,9000,1
10,item10,10000,1
11,item11,11000,2
12,item12,12000,2
13,item13,13000,2
14,item14,14000,2
15,item15,15000,2
16,item16,16000,2
17,item17,17000,2
18,item18,18000,2
19,item19,19000,2
20,item20,20000,2
21,item21,21000,3
22,item22,22000,3
23,item23,23000,3
24,item24,24000,3
25,item25,25000,3
26,item26,26000,3
27,item27,27000,3
28,item28,28000,3
29,item29,29000,3
30,item30,30000,3
31,item31,31000,1
32,item32,32000,1
33,item33,33000,1
34,item34,34000,1
35,item35,35000,1
36,item36,36000,1
37,item37,37000,1
38,item38,38000,1
39,item39,39000,1
40,item40,40000,1
41,item41,41000,2
42,item42,42000,2
43,item43,43000,2
44,item44,44000,2
45,item45,45000,2
46,item46,46000,2
47,item47,47000,2
48,item48,48000,2
49,item49,49000,2
50,item50,50000,2
51,item51,51000,3
52,item52,52000,3
53,item53,53000,3
54,item54,54000,3
55,item55,55000,3
56,item56,56000,3
57,item57,57000,3
58,item58,58000,3
59,item59,59000,3
60,item60,60000,3
61,item61,61000,1
62,item62,62000,1
63,item63,63000,1
64,item64,64000,1
65,item65,65000,1
66,item66,66000,1
67,item67,67000,1
68,item68,68000,1
69,item69,69000,1
70,item70,70000,1
71,item71,71000,2
72,item72,72000,2
73,item73,73000,2
74,item74,74000,2
75,item75,75000,2
76,item76,76000,2
77,item77,77000,2
78,item78,78000,2
79,item79,79000,2
80,item80,80000,2
81,item81,81000,3
82,item82,82000,3
83,item83,83000,3
84,item84,84000,3
85,item85,85000,3
86,item86,86000,3
87,item87,87000,3
88,item88,88000,3
89,item89,89000,3
90,item90,90000,3
91,item91,91000,1
92,item92,92000,1
93,item93,93000,1
94,item94,94000,1
95,item95,95000,1
96,item96,96000,1
97,item97,97000,1
98,item98,98000,1
99,item99,99000,1
100,item100,100000,1
101,item101,101000,2
102,item102,102000,2
103,item103,103000,2
104,item104,104000,2
105,item105,105000,2
106,item106,106000,2
107,item107,107000,2
108,item108,108000,2
109,item109,109000,2
110,item110,110000,2
111,item111,111000,3
112,item112,112000,3
113,item113,113000,3
114,item114,114000,3
115,item115,115000,3
116,item116,116000,3
117,item117,117000,3
118,item118,118000,3
119,item119,119000,3
120,item120,120000,3
121,item121,121000,1
122,item122,122000,1
123,item123,123000,1
124,item124,124000,1
125,item125,125000,1
126,item126,126000,1
127,item127,127000,1
128,item128,128000,1
129,item129,129000,1
130,item130,130000,1
131,item131,131000,2
132,item132,132000,2
133,item133,133000,2
134,item134,134000,2
135,item135,135000,2
136,item136,136000,2
137,item137,137000,2
138,item138,138000,2
139,item139,139000,2
140,item140,140000,2
141,item141,141000,3
142,item142,142000,3
143,item143,143000,3
144,item144,144000,3
145,item145,145000,3
146,item146,146000,3
147,item147,147000,3
148,item148,148000,3
149,item149,149000,3
150,item150,150000,3
151,item151,151000,1
152,item152,152000,1
153,item153,153000,1
154,item154,154000,1
155,item155,155000,1
156,item156,156000,1
157,item157,157000,1
158,item158,158000,1
159,item159,159000,1
160,item160,160000,1
161,item161,161000,2
162,item162,162000,2
163,item163,163000,2
164,item164,164000,2
165,item165,165000,2
166,item166,166000,2
167,item167,167000,2
168,item168,168000,2
169,item169,169000,2
170,item170,170000,2
171,item171,171000,3
172,item172,172000,3
173,item173,173000,3
174,item174,174000,3
175,item175,175000,3
176,item176,176000,3
177,item177,177000,3
178,item178,178000,3
179,item179,179000,3
180,item180,180000,3
181,item181,181000,1
182,item182,182000,1
183,item183,183000,1
184,item184,184000,1
185,item185,185000,1
186,item186,186000,1
187,item187,187000,1
188,item188,188000,1
189,item189,189000,1
190,item190,190000,1
191,item191,191000,2
192,item192,192000,2
193,item193,193000,2
194,item194,194000,2
195,item195,195000,2
196,item196,196000,2
197,item197,197000,2
198,item198,198000,2
199,item199,199000,2
200,item200,200000,2
201,item201,201000,3
202,item202,202000,3
203,item203,203000,3
204,item204,204000,3
205,item205,205000,3
206,item206,206000,3
207,item207,207000,3
208,item208,208000,3
209,item209,209000,3
210,item210,210000,3
211,item211,211000,1
212,item212,212000,1
213,item213,213000,1
214,item214,214000,1
215,item215,215000,1
216,item216,216000,1
217,item217,217000,1
218,item218,218000,1
219,item219,219000,1
220,item220,220000,1
221,item221,221000,2
222,item222,222000,2
223,item223,223000,2
224,item224,224000,2
225,item225,225000,2
226,item226,226000,2
227,item227,227000,2
228,item228,228000,2
229,item229,229000,2
230,item230,230000,2
231,item231,231000,3
232,item232,232000,3
233,item233,233000,3
234,item234,234000,3
235,item235,235000,3
236,item236,236000,3
237,item237,237000,3
238,item238,238000,3
239,item239,239000,3
240,item240,240000,3
241,item241,241000,1
242,item242,242000,1
243,item243,243000,1
244,item244,244000,1
245,item245,245000,1
246,item246,246000,1
247,item247,247000,1
248,item248,248000,1
249,item249,249000,1
250,item250,250000,1
251,item251,251000,2
252,item252,252000,2
253,item253,253000,2
254,item254,254000,2
255,item255,255000,2
256,item256,256000,2
257,item257,257000,2
258,item258,258000,2
259,item259,259000,2
260,item260,260000,2
261,item261,261000,3
262,item262,262000,3
263,item263,263000,3
264,item264,264000,3
265,item265,265000,3
266,item266,266000,3
267,item267,267000,3
268,item268,268000,3
269,item269,269000,3
270,item270,270000,3
271,item271,271000,1
272,item272,272000,1
273,item273,273000,1
274,item274,274000,1
275,item275,275000,1
276,item276,276000,1
277,item277,277000,1
278,item278,278000,1
279,item279,279000,1
280,item280,280000,1
281,item281,281000,2
282,item282,282000,2
283,item283,283000,2
284,item284,284000,2
285,item285,285000,2
286,item286,286000,2
287,item287,287000,2
288,item288,288000,2
289,item289,289000,2
290,item290,290000,2
291,item291,291000,3
292,item292,292000,3
293,item293,293000,3
294,item294,294000,3
295,item295,295000,3
296,item296,296000,3
297,item297,297000,3
298,item298,298000,3
299,item299,299000,3
300,item300,300000,3
